iter=3150,loss=0.026213,psnr=31.629659
iter=3160,loss=0.026184,psnr=31.639332
iter=3170,loss=0.026189,psnr=31.637602
iter=3180,loss=0.026194,psnr=31.636038
iter=3190,loss=0.026135,psnr=31.655535
iter=3200,loss=0.026126,psnr=31.658628
iter=3210,loss=0.026146,psnr=31.651786
iter=3220,loss=0.026167,psnr=31.645032
iter=3230,loss=0.026181,psnr=31.640412
iter=3240,loss=0.026201,psnr=31.633784
iter=3250,loss=0.026196,psnr=31.635266
iter=3260,loss=0.026199,psnr=31.634345
iter=3270,loss=0.025990,psnr=31.703929
iter=3280,loss=0.025735,psnr=31.789538
iter=3290,loss=0.025536,psnr=31.856878
iter=3300,loss=0.025499,psnr=31.869659
iter=3310,loss=0.025494,psnr=31.871229
iter=3320,loss=0.025496,psnr=31.870571
iter=3330,loss=0.025473,psnr=31.878377
iter=3340,loss=0.025456,psnr=31.884027
iter=3350,loss=0.025474,psnr=31.878151
iter=3360,loss=0.025495,psnr=31.870799
iter=3370,loss=0.025506,psnr=31.867163
iter=3380,loss=0.025516,psnr=31.863793
iter=3390,loss=0.025512,psnr=31.865152
iter=3400,loss=0.025448,psnr=31.886995
iter=3410,loss=0.025443,psnr=31.888640
iter=3420,loss=0.025453,psnr=31.885315
iter=3430,loss=0.025474,psnr=31.878154
iter=3440,loss=0.025488,psnr=31.873317
iter=3450,loss=0.025498,psnr=31.869926
iter=3460,loss=0.025522,psnr=31.861875
iter=3470,loss=0.025484,psnr=31.874651
iter=3480,loss=0.025378,psnr=31.910862
iter=3490,loss=0.025343,psnr=31.922955
iter=3500,loss=0.025348,psnr=31.921249
iter=3510,loss=0.025366,psnr=31.915121
iter=3520,loss=0.025295,psnr=31.939360
iter=3530,loss=0.024988,psnr=32.045538
iter=3540,loss=0.024847,psnr=32.094608
iter=3550,loss=0.024725,psnr=32.137379
iter=3560,loss=0.024689,psnr=32.149816
iter=3570,loss=0.024702,psnr=32.145406
iter=3580,loss=0.024713,psnr=32.141403
iter=3590,loss=0.024714,psnr=32.140998
iter=3600,loss=0.024640,psnr=32.167300
iter=3610,loss=0.024232,psnr=32.312246
iter=3620,loss=0.024113,psnr=32.354837
iter=3630,loss=0.024098,psnr=32.360455
iter=3640,loss=0.024106,psnr=32.357452
iter=3650,loss=0.024130,psnr=32.348904
iter=3660,loss=0.024149,psnr=32.342113
iter=3670,loss=0.024167,psnr=32.335491
iter=3680,loss=0.024181,psnr=32.330382
iter=3690,loss=0.024193,psnr=32.326189
iter=3700,loss=0.024203,psnr=32.322654
iter=3710,loss=0.024196,psnr=32.325048
iter=3720,loss=0.024201,psnr=32.323237
iter=3730,loss=0.024209,psnr=32.320294
iter=3740,loss=0.024236,psnr=32.310823
iter=3750,loss=0.024220,psnr=32.316619
iter=3760,loss=0.024125,psnr=32.350592
iter=3770,loss=0.024127,psnr=32.349903
iter=3780,loss=0.024146,psnr=32.342929
iter=3790,loss=0.024102,psnr=32.358906
iter=3800,loss=0.024083,psnr=32.365967
iter=3810,loss=0.024101,psnr=32.359417
iter=3820,loss=0.024122,psnr=32.351625
iter=3830,loss=0.024138,psnr=32.346062
iter=3840,loss=0.024150,psnr=32.341711
iter=3850,loss=0.024139,psnr=32.345446
iter=3860,loss=0.024166,psnr=32.335845
iter=3870,loss=0.024203,psnr=32.322664
iter=3880,loss=0.024230,psnr=32.312890
iter=3890,loss=0.024245,psnr=32.307450
iter=3900,loss=0.024196,psnr=32.325211
iter=3910,loss=0.024185,psnr=32.329191
iter=3920,loss=0.023899,psnr=32.432432
iter=3930,loss=0.023805,psnr=32.466476
iter=3940,loss=0.023803,psnr=32.467400
iter=3950,loss=0.023814,psnr=32.463412
iter=3960,loss=0.023838,psnr=32.454481
iter=3970,loss=0.023863,psnr=32.445497
iter=3980,loss=0.023867,psnr=32.444111
iter=3990,loss=0.023643,psnr=32.526019
iter=4000,loss=0.023569,psnr=32.553095
iter=4010,loss=0.023554,psnr=32.558532
iter=4020,loss=0.023552,psnr=32.559341
iter=4030,loss=0.023560,psnr=32.556449
iter=4040,loss=0.023575,psnr=32.550913
iter=4050,loss=0.023594,psnr=32.544118
iter=4060,loss=0.023540,psnr=32.563960
iter=4070,loss=0.023517,psnr=32.572321
iter=4080,loss=0.023525,psnr=32.569450
iter=4090,loss=0.023528,psnr=32.568125
iter=4100,loss=0.023492,psnr=32.581642
iter=4110,loss=0.023499,psnr=32.578915
iter=4120,loss=0.023510,psnr=32.574819
iter=4130,loss=0.023519,psnr=32.571664
iter=4140,loss=0.023527,psnr=32.568543
iter=4150,loss=0.023535,psnr=32.565555
iter=4160,loss=0.023542,psnr=32.563039
iter=4170,loss=0.023548,psnr=32.560867
iter=4180,loss=0.023547,psnr=32.561263
iter=4190,loss=0.023545,psnr=32.562092
iter=4200,loss=0.023483,psnr=32.584974
iter=4210,loss=0.023371,psnr=32.626426
iter=4220,loss=0.023304,psnr=32.651279
iter=4230,loss=0.023286,psnr=32.657921
iter=4240,loss=0.023291,psnr=32.656246
iter=4250,loss=0.023306,psnr=32.650675
iter=4260,loss=0.023321,psnr=32.645129
iter=4270,loss=0.023320,psnr=32.645272
iter=4280,loss=0.023336,psnr=32.639381
iter=4290,loss=0.023325,psnr=32.643717
iter=4300,loss=0.023338,psnr=32.638907
iter=4310,loss=0.023359,psnr=32.630799
iter=4320,loss=0.023382,psnr=32.622371
iter=4330,loss=0.023403,psnr=32.614519
iter=4340,loss=0.023409,psnr=32.612200
iter=4350,loss=0.023413,psnr=32.610880
iter=4360,loss=0.023431,psnr=32.604091
iter=4370,loss=0.023454,psnr=32.595658
iter=4380,loss=0.023478,psnr=32.586847
iter=4390,loss=0.023475,psnr=32.588003
iter=4400,loss=0.023452,psnr=32.596512
