iter=3280,loss=0.057798,psnr=24.761782
iter=3290,loss=0.057997,psnr=24.731845
iter=3300,loss=0.057741,psnr=24.770291
iter=3310,loss=0.057866,psnr=24.751549
iter=3320,loss=0.057836,psnr=24.756023
iter=3330,loss=0.057206,psnr=24.851117
iter=3340,loss=0.057012,psnr=24.880658
iter=3350,loss=0.057184,psnr=24.854542
iter=3360,loss=0.057529,psnr=24.802330
iter=3370,loss=0.057832,psnr=24.756599
iter=3380,loss=0.057384,psnr=24.824111
iter=3390,loss=0.057075,psnr=24.871052
iter=3400,loss=0.057303,psnr=24.836438
iter=3410,loss=0.057777,psnr=24.764895
iter=3420,loss=0.058193,psnr=24.702619
iter=3430,loss=0.058588,psnr=24.643846
iter=3440,loss=0.058842,psnr=24.606290
iter=3450,loss=0.058886,psnr=24.599829
iter=3460,loss=0.059117,psnr=24.565804
iter=3470,loss=0.059410,psnr=24.522824
iter=3480,loss=0.059793,psnr=24.467018
iter=3490,loss=0.060163,psnr=24.413384
iter=3500,loss=0.060574,psnr=24.354241
iter=3510,loss=0.060984,psnr=24.295651
iter=3520,loss=0.061420,psnr=24.233768
iter=3530,loss=0.061812,psnr=24.178487
iter=3540,loss=0.062084,psnr=24.140429
iter=3550,loss=0.062308,psnr=24.109183
iter=3560,loss=0.062579,psnr=24.071372
iter=3570,loss=0.062170,psnr=24.128415
iter=3580,loss=0.061584,psnr=24.210656
iter=3590,loss=0.061623,psnr=24.205087
iter=3600,loss=0.061891,psnr=24.167382
iter=3610,loss=0.062165,psnr=24.129126
iter=3620,loss=0.061256,psnr=24.257047
iter=3630,loss=0.060222,psnr=24.404840
iter=3640,loss=0.059559,psnr=24.501083
iter=3650,loss=0.059064,psnr=24.573541
iter=3660,loss=0.059102,psnr=24.567927
iter=3670,loss=0.059369,psnr=24.528847
iter=3680,loss=0.059773,psnr=24.469902
iter=3690,loss=0.058975,psnr=24.586662
iter=3700,loss=0.057876,psnr=24.750061
iter=3710,loss=0.057613,psnr=24.789526
iter=3720,loss=0.057401,psnr=24.821648
iter=3730,loss=0.057191,psnr=24.853491
iter=3740,loss=0.057284,psnr=24.839353
iter=3750,loss=0.057526,psnr=24.802718
iter=3760,loss=0.057247,psnr=24.844940
iter=3770,loss=0.056379,psnr=24.977693
iter=3780,loss=0.055243,psnr=25.154414
iter=3790,loss=0.054989,psnr=25.194449
iter=3800,loss=0.054998,psnr=25.192996
iter=3810,loss=0.054258,psnr=25.310699
iter=3820,loss=0.053387,psnr=25.451230
iter=3830,loss=0.052806,psnr=25.546402
iter=3840,loss=0.052634,psnr=25.574613
iter=3850,loss=0.052471,psnr=25.601656
iter=3860,loss=0.052442,psnr=25.606362
iter=3870,loss=0.052436,psnr=25.607346
iter=3880,loss=0.052083,psnr=25.666155
iter=3890,loss=0.052100,psnr=25.663197
iter=3900,loss=0.052377,psnr=25.617177
iter=3910,loss=0.052699,psnr=25.563925
iter=3920,loss=0.053005,psnr=25.513600
iter=3930,loss=0.053476,psnr=25.436860
iter=3940,loss=0.053913,psnr=25.366114
iter=3950,loss=0.054302,psnr=25.303683
iter=3960,loss=0.054636,psnr=25.250402
iter=3970,loss=0.054970,psnr=25.197409
iter=3980,loss=0.055378,psnr=25.133265
iter=3990,loss=0.055731,psnr=25.078037
iter=4000,loss=0.055922,psnr=25.048299
iter=4010,loss=0.056184,psnr=25.007740
iter=4020,loss=0.056416,psnr=24.971946
iter=4030,loss=0.056703,psnr=24.927902
iter=4040,loss=0.056985,psnr=24.884766
iter=4050,loss=0.057268,psnr=24.841785
iter=4060,loss=0.057200,psnr=24.852112
iter=4070,loss=0.057129,psnr=24.862896
iter=4080,loss=0.056930,psnr=24.893158
iter=4090,loss=0.056986,psnr=24.884612
iter=4100,loss=0.056822,psnr=24.909729
iter=4110,loss=0.056852,psnr=24.905075
iter=4120,loss=0.057030,psnr=24.877969
iter=4130,loss=0.056825,psnr=24.909168
iter=4140,loss=0.056902,psnr=24.897375
iter=4150,loss=0.057149,psnr=24.859768
iter=4160,loss=0.056775,psnr=24.916919
iter=4170,loss=0.056447,psnr=24.967113
iter=4180,loss=0.055342,psnr=25.138833
iter=4190,loss=0.054050,psnr=25.344146
iter=4200,loss=0.053780,psnr=25.387589
iter=4210,loss=0.053938,psnr=25.362025
iter=4220,loss=0.054106,psnr=25.335111
iter=4230,loss=0.054056,psnr=25.343174
iter=4240,loss=0.054272,psnr=25.308495
iter=4250,loss=0.054275,psnr=25.308015
iter=4260,loss=0.054338,psnr=25.297872
iter=4270,loss=0.054509,psnr=25.270668
iter=4280,loss=0.054674,psnr=25.244363
iter=4290,loss=0.054868,psnr=25.213585
iter=4300,loss=0.055197,psnr=25.161612
iter=4310,loss=0.055579,psnr=25.101805
iter=4320,loss=0.055980,psnr=25.039319
iter=4330,loss=0.055889,psnr=25.053431
iter=4340,loss=0.054635,psnr=25.250509
iter=4350,loss=0.054008,psnr=25.350899
iter=4360,loss=0.054062,psnr=25.342124
iter=4370,loss=0.054344,psnr=25.296943
iter=4380,loss=0.054590,psnr=25.257664
iter=4390,loss=0.054586,psnr=25.258344
iter=4400,loss=0.054688,psnr=25.242191
iter=4410,loss=0.054133,psnr=25.330725
iter=4420,loss=0.053719,psnr=25.397421
iter=4430,loss=0.053784,psnr=25.386858
iter=4440,loss=0.054046,psnr=25.344775
iter=4450,loss=0.054252,psnr=25.311665
iter=4460,loss=0.054180,psnr=25.323289
iter=4470,loss=0.054336,psnr=25.298167
iter=4480,loss=0.053794,psnr=25.385276
iter=4490,loss=0.053445,psnr=25.441849
iter=4500,loss=0.053238,psnr=25.475526
iter=4510,loss=0.053277,psnr=25.469215
iter=4520,loss=0.053525,psnr=25.428824
iter=4530,loss=0.053783,psnr=25.387075
iter=4540,loss=0.053950,psnr=25.360241
iter=4550,loss=0.054295,psnr=25.304819
iter=4560,loss=0.054656,psnr=25.247302
iter=4570,loss=0.054986,psnr=25.194942
iter=4580,loss=0.055322,psnr=25.141976
iter=4590,loss=0.055621,psnr=25.095223
iter=4600,loss=0.055998,psnr=25.036512
iter=4610,loss=0.056321,psnr=24.986600
iter=4620,loss=0.055490,psnr=25.115689
iter=4630,loss=0.054831,psnr=25.219458
iter=4640,loss=0.054829,psnr=25.219799
iter=4650,loss=0.054922,psnr=25.205017
iter=4660,loss=0.055209,psnr=25.159774
iter=4670,loss=0.055557,psnr=25.105200
iter=4680,loss=0.055897,psnr=25.052298
iter=4690,loss=0.056183,psnr=25.007874
iter=4700,loss=0.056496,psnr=24.959680
iter=4710,loss=0.056794,psnr=24.913967
iter=4720,loss=0.056609,psnr=24.942217
iter=4730,loss=0.056391,psnr=24.975735
iter=4740,loss=0.056411,psnr=24.972728
iter=4750,loss=0.056366,psnr=24.979678
iter=4760,loss=0.056031,psnr=25.031383
